,deviceOs,appSeq,name,crashrate
144,ios,296,마나스트라이크(지스타),0.0
145,android,254,마퓨파중국 비마켓(공홈),0.3
146,android,7,모두의 마블 for Kakao (Android),0.21
147,ios,8,모두의 마블 for Kakao (iOS),0.25
148,ios,32,모두의 마블 for Thai,0.0
149,android,31,모두의 마블 for Thai,0.0
150,android,9,모두의마블 for Turkey (Android),0.39
151,ios,10,모두의마블 for Turkey (iOS),0.56
152,android,46,모바일 대박맞고 for netmarbleS (Android),0.13
153,android,29,모비럼 (Android),0.0
154,ios,30,모비럼 (iOS),0.0
155,android,78,몬스터길들이기 for Kakao - Android,2.59
156,ios,79,몬스터길들이기 for Kakao - iOS,0.56
157,android,111,발람(Android),0.0
158,ios,110,발람(iOS),0.0
159,android,12,붕붕붕 for JP (Android),0.0
160,ios,13,붕붕붕 for JP (iOS),0.0
161,ios,196,블레이드 앤 소울 월드 (국내),0.0
162,android,195,블레이드 앤 소울 월드 (국내),0.7
163,ios,293,블레이드 앤 소울 월드 (일본),0.0
164,android,292,블레이드 앤 소울 월드 (일본),0.0
165,android,179,블레이드앤소울 서포트앱(AOS),0.0
166,ios,180,블레이드앤소울 서포트앱(iOS),0.0
167,android,297,블레이드앤소울 아시아 - Android,6.27
168,ios,298,블레이드앤소울 아시아 - iOS,2.13
169,android,94,블레이드앤소울 웨스턴 - Android,0.0
170,ios,95,블레이드앤소울 웨스턴 - iOS,0.0
171,android,280,블레이드앤소울 일본 - Android,4.4
172,ios,281,블레이드앤소울 일본 - iOS,1.97
173,android,250,블레이드앤소울 한국 - Android,3.95
174,ios,251,블레이드앤소울 한국 - iOS,1.89
175,android,41,세븐나이츠 for Kakao - android,2.09
176,ios,40,세븐나이츠 for Kakao - ios,0.48
177,android,193,세븐나이츠2,0.0
178,ios,194,세븐나이츠2,20.0
179,android,269,소녀기원(soulworker) For Aos,0.0
180,ios,270,소녀기원(soulworker) For IOS,0.0
181,android,112,소울킹 국내 (Android ),0.0
182,ios,113,소울킹 국내 (ios),0.0
183,android,114,소울킹 글로벌 (android),0.0
184,ios,115,소울킹 글로벌 (ios),0.0
185,android,52,스타워즈,0.0
186,ios,53,스타워즈,0.33
187,android,69,스톤에이지 (android),0.84
188,ios,70,스톤에이지 (ios),0.49
189,android,229,스톤에이지 cpdev (android),0.0
190,android,299,스톤에이지 MMO for Global AOS,2.47
191,ios,300,스톤에이지 MMO for Global IOS,0.38
192,android,210,스톤에이지 MMO for Taiwan AOS,0.0
193,android,224,스톤에이지 MMO for Taiwan CBT,0.0
194,ios,211,스톤에이지 MMO for Taiwan IOS,0.0
195,ios,277,스톤에이지M IOS For CN(石器时代M 中国IOS),0.66
196,android,237,스톤에이지MMO(KR) AOS,0.0
197,ios,236,스톤에이지MMO(KR) IOS,0.0
198,android,87,아덴,0.0
199,android,173,야구전당2 for Taiwan (Android),0.03
200,ios,174,야구전당2 for Taiwan (iOS),0.45
201,android,57,요괴 - android,0.0
202,ios,59,요괴 - ios,0.0
203,ios,126,요괴워치 for Japan,0.09
204,android,125,요괴워치 for Japan,0.2
205,android,106,이데아 - 대홍마 (Android),0.0
206,ios,108,이데아 - 대홍마 (iOS),0.0
207,android,137,이데아 대홍마 CBT - Android,0.0
208,android,26,이데아 중국 (Android),0.0
209,ios,25,이데아 중국(iOS),0.0
210,ios,71,이블베인,0.0
211,android,68,이블베인,0.0
212,android,76,이사만루2 (Android),0.37
213,ios,77,이사만루2 (iOS),0.0
214,ios,220,이카루스M World,0.0
215,android,219,이카루스M World,0.0
216,android,305,제2의나라,0.0
217,ios,306,제2의나라 - iOS,0.0
218,android,189,중국샘플앱(PANDA) - Android,0.0
219,ios,190,중국샘플앱(PANDA) - IOS,0.0
220,android,271,쿵야 캐치마인드(국내) Android,0.55
221,ios,272,쿵야 캐치마인드(국내) IOS,1.56
222,ios,202,클래시사커,0.0
223,android,201,클래시사커,0.0
224,android,286,테라 오리진 - Android,2.86
225,ios,287,테라 오리진 - iOS,1.66
226,android,227,테라(일본) CBT - Android,0.0
227,ios,228,테라(일본) CBT- iOS,0.0
228,android,288,테라: 더 비기닝 (Android),0.0
229,ios,289,테라: 더 비기닝 (iOS),0.0
230,android,133,테라M(Andorid),7.19
